Feature,Importance Mean,Importance Std,Lead Group
aVF_beat_area,0.0020769393028529175,0.004306519881866691,aVF
V6_beat_pre_mean,0.002069599896262575,0.002802820422841454,V6
V5_beat_area,0.002061114237664083,0.004018602804167032,V5
I_strip_q25,0.002022168623509399,0.007292137659697173,I
aVL_beat_energy,0.001984126984126977,0.001984126984126977,aVL
V6_strip_skew,0.0019359059226813995,0.002534110774417163,V6
V2_strip_skew,0.0019220201492924944,0.004600554897615326,V2
aVL_strip_skew,0.0019104153256360944,0.004660987196303396,aVL
V1_V3_st_mean_avg,0.0018604035558526856,0.005945251618359107,V1
III_strip_median,0.001844862905858799,0.0025726469200886165,I
aVR_beat_area,0.001807187046013578,0.0032161081247090027,aVR
aVL_beat_s_min,0.0018055119416336446,0.011354654049457472,aVL
V4_strip_q95,0.001801838275627804,0.006185013913381525,V4
V3_strip_abs_area,0.0017857142857142794,0.0030929478706586988,V3
III_strip_abs_area,0.001777395800663492,0.0043533934295095335,I
aVL_strip_q95,0.001721516928329453,0.0036769105975497374,aVL
V1_strip_std,0.0016233766233766378,0.0016233766233766378,V1
V5_strip_q75,0.0015797333802567925,0.002430796135037858,V5
V1_beat_qrs_range,0.0015720454061000726,0.009974264970525998,V1
V3_beat_st_slope,0.0015476190476190587,0.0017035303885369556,V3
aVL_beat_q_min,0.0015383289163270863,0.007393740983796361,aVL
II_beat_q_min,0.0015247276601539823,0.0087901996323147,I
V3_strip_kurtosis,0.0014856146347088483,0.003173992511217653,V3
V1_V2_strip_energy_avg,0.0014409040571831233,0.0030662588386935114,V1
aVL_strip_ptp,0.0014169509687455783,0.005237277052014055,aVL
aVR_strip_mean,0.0013613398298097101,0.0016834850827271307,aVR
III_beat_st_max,0.001321825573280888,0.022982370805377805,I
V3_beat_qrs_range,0.001257303844153626,0.0042244458662519194,V3
aVF_beat_s_min,0.0012381803798367258,0.012372619549857305,aVF
V3_beat_s_min,0.0011759742656752615,0.001923322175100192,V3
V5_strip_mean,0.0011742320667942202,0.002683528173820543,V5
aVF_strip_rms,0.0010938286519681984,0.00165969473966196,aVF
V1_beat_st_mean,0.0010674652036778392,0.0021074430808232275,V1
V2_beat_area,0.001006699141904041,0.0045092211017159056,V2
aVR_strip_std,0.0009662956091527619,0.0016280632940089794,aVR
aVL_strip_q05,0.0008572460508478374,0.003728738158266489,aVL
V4_beat_st_slope,0.0008324149888432192,0.001196755955057759,V4
I_strip_median,0.0008001912415064455,0.0030798419293489782,I
V2_strip_abs_area,0.0007254941823674893,0.0016482546328026235,V2
aVR_strip_zero_cross,0.0007179834593818741,0.0016370812205644552,aVR
aVF_strip_max,0.0006940019283296045,0.008127804203264997,aVF
aVL_beat_st_max,0.0006819280737650812,0.002854530079776576,aVL
III_beat_qrs_range,0.0006752623530032114,0.0024624649177072714,I
III_beat_s_min,0.0006270486308262713,0.0037437222410387294,I
V1_beat_t_max,0.000597232185180388,0.004479696044825304,V1
I_strip_rms,0.0005041995656613673,0.0013446327043991548,I
I_beat_energy,0.0004217019987564713,0.0011830908125318594,I
II_strip_q25,0.00041576386738738645,0.001040607089305991,I
I_strip_min,0.00041331772182849613,0.002371768320776483,I
aVL_strip_min,0.0003336425344122373,0.004072766479827075,aVL
I_beat_st_max,0.00025828816162624393,0.003979516355864799,I
