Model,AUC mean,AUC std,PR AUC mean,PR AUC std,F1 mean,F1 std,Sensitivity mean,Sensitivity std,Specificity mean,Specificity std,Balanced Accuracy mean,Balanced Accuracy std,False Negatives mean,False Negatives std
Echo State Network (ESN),0.7403926482873852,0.05503189106012507,0.5354362580186826,0.07159453161757236,0.47147665744502015,0.09579173947314715,0.6190476190476191,0.1951800145897066,0.7543859649122807,0.1429582371050061,0.6867167919799498,0.06879916089182138,5.333333333333333,2.7325202042558927
XGBoost Features,0.7959482038429407,0.042068075434370154,0.5603843963411566,0.10493958152268192,0.5223010889677556,0.05363682206750467,0.5119047619047619,0.11443442705426586,0.8859649122807017,0.08789456175351122,0.6989348370927319,0.029696207663492694,6.833333333333333,1.6020819787597222
Random Forest Features,0.7873851294903926,0.0456365216728109,0.5188590247786877,0.11898778949346589,0.40409995741517446,0.14854081144476292,0.4523809523809524,0.22436607598837613,0.8216374269005847,0.16435765888096185,0.6370091896407686,0.08275769931199005,7.666666666666667,3.141125063837266
