Threshold,AUC,PR AUC,F1,Accuracy,Balanced Accuracy,Sensitivity,Specificity,Precision,Correctly Predicted,Total Samples,Correct Normal,Correct Brugada,False Positives,False Negatives,True Positives,True Negatives,Model,Split
0.012517691095284843,0.7117794486215538,0.5104427885432191,0.425531914893617,0.6197183098591549,0.6553884711779449,0.7142857142857143,0.5964912280701754,0.30303030303030304,44,71,34,10,23,4,10,34,Echo State Network (ESN),1
0.493672251701355,0.7919799498746868,0.5708861753618967,0.5454545454545454,0.8591549295774648,0.6967418546365914,0.42857142857142855,0.9649122807017544,0.75,61,71,55,6,2,8,6,55,XGBoost Features,1
0.3319954160094996,0.818295739348371,0.5854367867542534,0.5517241379310345,0.8169014084507042,0.7243107769423558,0.5714285714285714,0.8771929824561403,0.5333333333333333,58,71,50,8,7,6,8,50,Random Forest Features,1
0.2288949173915126,0.7681704260651628,0.5820843210707034,0.5789473684210527,0.7746478873239436,0.7788220551378446,0.7857142857142857,0.7719298245614035,0.4583333333333333,55,71,44,11,13,3,11,44,Echo State Network (ESN),2
0.6312522888183594,0.8671679197994988,0.7561535935325281,0.6,0.8873239436619719,0.7142857142857143,0.42857142857142855,1.0,1.0,63,71,57,6,0,8,6,57,XGBoost Features,2
0.3087284788865144,0.8408521303258145,0.6901557873457353,0.5161290322580645,0.7887323943661971,0.706766917293233,0.5714285714285714,0.8421052631578947,0.47058823529411764,56,71,48,8,9,6,8,48,Random Forest Features,2
0.050892290976022866,0.7744360902255639,0.6374684489180287,0.4489795918367347,0.6197183098591549,0.6823308270676691,0.7857142857142857,0.5789473684210527,0.3142857142857143,44,71,33,11,24,3,11,33,Echo State Network (ESN),3
0.2070939540863037,0.805764411027569,0.46012407760306917,0.5405405405405406,0.7605633802816901,0.7431077694235588,0.7142857142857143,0.7719298245614035,0.43478260869565216,54,71,44,10,13,4,10,44,XGBoost Features,3
0.43789951845249087,0.8020050125313283,0.4396383674745019,0.2,0.7746478873239436,0.5363408521303258,0.14285714285714285,0.9298245614035088,0.3333333333333333,55,71,53,2,4,12,2,53,Random Forest Features,3
0.4453200712124077,0.7957393483709273,0.563218031968032,0.6,0.8309859154929577,0.7600250626566416,0.6428571428571429,0.8771929824561403,0.5625,59,71,50,9,7,5,9,50,Echo State Network (ESN),4
0.14047792553901672,0.7944862155388471,0.5670674044722338,0.48484848484848486,0.7605633802816901,0.6892230576441103,0.5714285714285714,0.8070175438596491,0.42105263157894735,54,71,46,8,11,6,8,46,XGBoost Features,4
0.3138429188541951,0.7932330827067668,0.5527099964654296,0.5185185185185185,0.8169014084507042,0.6973684210526316,0.5,0.8947368421052632,0.5384615384615384,58,71,51,7,6,7,7,51,Random Forest Features,4
0.955635674886134,0.6441102756892231,0.4690404060174794,0.36363636363636365,0.8028169014084507,0.6077694235588973,0.2857142857142857,0.9298245614035088,0.5,57,71,53,4,4,10,4,53,Echo State Network (ESN),5
0.4688709080219269,0.7380952380952381,0.4945774452961281,0.4444444444444444,0.7887323943661971,0.6528822055137844,0.42857142857142855,0.8771929824561403,0.46153846153846156,56,71,50,6,7,8,6,50,XGBoost Features,5
0.3699329941133488,0.7142857142857143,0.3482277317886233,0.2608695652173913,0.7605633802816901,0.5545112781954887,0.21428571428571427,0.8947368421052632,0.3333333333333333,54,71,51,3,6,11,3,51,Random Forest Features,5
0.3029669332833783,0.7481203007518797,0.4503635515946327,0.4117647058823529,0.7183098591549296,0.6359649122807017,0.5,0.7719298245614035,0.35,51,71,44,7,13,7,7,44,Echo State Network (ESN),6
0.5200559496879578,0.7781954887218046,0.5134976817810835,0.5185185185185185,0.8169014084507042,0.6973684210526316,0.5,0.8947368421052632,0.5384615384615384,58,71,51,7,6,7,7,51,XGBoost Features,6
0.18152893812207133,0.7556390977443609,0.4969854788435829,0.37735849056603776,0.5352112676056338,0.6027568922305764,0.7142857142857143,0.49122807017543857,0.2564102564102564,38,71,28,10,29,4,10,28,Random Forest Features,6
