Lead Group,Importance Mean
V2,0.11222155040650693
V1,0.08814769448659363
aVF,0.07019724142994888
aVR,0.04676506648803248
I,0.0362393478921395
V4,0.018236663438554283
V3,0.0135564434849774
V6,0.01189667184271799
cross-lead / global,0.009121149955481174
V5,-0.0046001976940676925
aVL,-0.014136357556546145
