Model,PR AUC ECG-only,F1 ECG-only,Sensitivity ECG-only,Specificity ECG-only,False Negatives ECG-only,Correct Brugada ECG-only,PR AUC ECG+metadata,F1 ECG+metadata,Sensitivity ECG+metadata,Specificity ECG+metadata,False Negatives ECG+metadata,Correct Brugada ECG+metadata,Delta PR AUC,Delta F1,Delta Sensitivity,Delta Specificity,Delta Correct Brugada
XGBoost Features,0.46564507262688226,0.5517241379310345,0.5714285714285714,0.8793103448275862,6,8,0.4624003369953176,0.43478260869565216,0.35714285714285715,0.9310344827586207,9,5,-0.003244735631564688,-0.11694152923538231,-0.21428571428571425,0.051724137931034475,-3
Random Forest Features,0.4564715571543303,0.45454545454545453,0.35714285714285715,0.9482758620689655,9,5,0.45461982072376295,0.5217391304347826,0.42857142857142855,0.9482758620689655,8,6,-0.0018517364305673523,0.06719367588932806,0.0714285714285714,0.0,1
AdaBoost,0.4282388762591749,0.21052631578947367,0.14285714285714285,0.9482758620689655,12,2,0.4282388762591749,0.21052631578947367,0.14285714285714285,0.9482758620689655,12,2,0.0,0.0,0.0,0.0,0
SVM RBF Features,0.37152030552102766,0.25,0.21428571428571427,0.8793103448275862,11,3,0.3869542888505737,0.4666666666666667,0.5,0.8448275862068966,7,7,0.015433983329546042,0.21666666666666667,0.2857142857142857,-0.03448275862068961,4
